id	name	stack	parent	summary	zoneId	zoneTitle	mem	anchors	shape	scriptSrc	notes	presets	extract
tauri	Tauri	Tauri	rust	Rust core plus webview shell.	src-tauri	Tauri backend	src-tauri/; frontend separate	src-tauri/tauri.conf.json package.json	cargo tauri {cmd} or {pm} run tauri	package.json plus Cargo	Stay at repo root when scripts wrap tauri.	dev=pnpm run tauri dev|build=pnpm run tauri build	src-tauri/tauri.conf.json:productName
qwik	Qwik	Qwik	node	Resumable framework; Vite plus Qwik City.	src	Qwik app	src/; vite.config	vite.config.ts package.json	{pm} run dev	package.json scripts	Qwik City controls routing.	dev=pnpm run dev	package.json:scripts
ember	Ember	Ember	node	Ambitious framework; ember-cli.	app	Ember app	app/; ember-cli-build.js	ember-cli-build.js package.json	ember serve	ember-cli	ember-cli is the control plane.	serve=pnpm run start	package.json:devDependencies.ember-cli,scripts
lit	Lit	Lit	node	Web Components base; Vite demos common.	src	Lit elements	custom elements in TS	package.json	{pm} run dev	package.json scripts	Lit has no app CLI.	dev=pnpm run dev	package.json:dependencies.lit
webpack	Webpack	Webpack	node	Module bundler; webpack.config.	config	Webpack config	webpack.config; entry/output	webpack.config.js package.json	webpack serve	package.json scripts	Prefer local webpack via scripts.	serve=pnpm run start|build=pnpm run build	package.json:devDependencies.webpack,scripts
rollup	Rollup	Rollup	node	ESM-first bundler; common for libraries.	config	Rollup config	rollup.config	rollup.config.mjs package.json	rollup -c	package.json scripts	Often library build, not app serve.	build=pnpm run build	package.json:devDependencies.rollup,scripts
esbuild	esbuild	esbuild	node	Extremely fast bundler/transpiler.	config	esbuild entry	build script or config	package.json	esbuild {entry}	package.json scripts	Frequently wrapped by Vite.	build=pnpm run build	package.json:devDependencies.esbuild,scripts
parcel	Parcel	Parcel	node	Zero-config bundler.	project-root	Parcel root	parcel entry HTML/TS	package.json .parcelrc	parcel {entry}	package.json scripts	parcel serve from package root.	serve=pnpm run start	package.json:devDependencies.parcel,scripts
turborepo	Turborepo	Turborepo	node	Monorepo task runner; turbo.json; --filter.	workspace-root	Turbo root	turbo.json; package graph	turbo.json package.json	turbo run {task} --filter={pkg}	turbo pipeline plus package scripts	Always from workspace root; --filter replaces cd.	build=turbo run build|dev=turbo run dev --filter={packageName}	turbo.json:tasks
nx	Nx	Nx	node	Monorepo toolkit; nx run project:target.	workspace-root	Nx workspace	nx.json; project graph	nx.json package.json	nx run {project}:{target}	nx project targets	project:target from root — never cd into apps.	serve=nx serve {projectName}|build=nx build {projectName}	nx.json:targetDefaults
lerna	Lerna	Lerna	node	Multi-package publisher; --scope.	workspace-root	Lerna root	lerna.json; packages/*	lerna.json package.json	lerna run {script} --scope={pkg}	package scripts	--scope selects package without cd.	run=lerna run build	lerna.json:packages
moonrepo	moonrepo	moonrepo		Polyglot monorepo tool; .moon/workspace.yml.	workspace-root	moon workspace	.moon/; moon.yml per project	.moon/workspace.yml	moon run {project}:{task}	moon.yml tasks	moon run from workspace root.	run=moon run {projectName}:{task}	.moon/workspace.yml:projects
typescript	TypeScript	TypeScript	node	Typed JS; tsc / tsconfig; project references.	config	tsconfig	tsconfig.json project references	tsconfig.json	tsc -p {tsconfig}	tsconfig plus scripts	Project references select packages without cd.	build=pnpm exec tsc -b|check=pnpm exec tsc --noEmit	tsconfig.json:compilerOptions,references
python	Python	Python		Language runtime; venv isolation; pyproject.toml.	project-root	Python project	pyproject.toml or requirements.txt; .venv	pyproject.toml requirements.txt .python-version	python -m {module}	pyproject / tool	Prefer python -m over bare scripts.	version=python --version	pyproject.toml:project
pip	pip	Python	python	Default installer; requirements.txt; prefer venv.	project-root	pip env	requirements files; often inside .venv	requirements.txt	python -m pip install -r {file}	requirements files	Always python -m pip inside the intended venv.	install=python -m pip install -r requirements.txt	requirements.txt:
uv	uv	Python	python	Fast Astral PM/venv; uv sync / uv run from project root.	project-root	uv project	pyproject.toml plus uv.lock	pyproject.toml uv.lock	uv run {cmd}	pyproject / uv run	uv run injects env — no manual activate required.	sync=uv sync|run=uv run {script}	pyproject.toml:project
poetry	Poetry	Python	python	Dependency plus packaging; poetry.lock; poetry run.	project-root	Poetry project	pyproject.toml; poetry.lock	pyproject.toml poetry.lock	poetry run {cmd}	pyproject scripts	Stay at project root; poetry env is managed.	install=poetry install|run=poetry run {script}	pyproject.toml:tool.poetry
pipenv	Pipenv	Python	python	Pipfile plus lock; pipenv run.	project-root	Pipenv project	Pipfile; Pipfile.lock	Pipfile Pipfile.lock	pipenv run {cmd}	Pipfile scripts	Prefer pipenv run over pipenv shell for scripts.	install=pipenv install|run=pipenv run {script}	Pipfile:
conda	Conda	Python		Env plus package manager; environment.yml.	env	Conda env	environment.yml; env name	environment.yml	conda env create -f environment.yml	environment.yml	Activation is shell-stateful — surface it.	create=conda env create -f environment.yml	environment.yml:name
pdm	PDM	Python	python	Modern pyproject PM; pdm run.	project-root	PDM project	pyproject.toml; pdm.lock	pyproject.toml pdm.lock	pdm run {cmd}	pyproject scripts	pdm run from project root.	install=pdm install|run=pdm run {script}	pyproject.toml:project
hatch	Hatch	Python	python	Env plus packaging; hatch run env:script.	project-root	Hatch project	pyproject.toml envs	pyproject.toml hatch.toml	hatch run {env}:{script}	tool.hatch	Env name is part of the command grammar.	run=hatch run {script}|test=hatch test	pyproject.toml:tool.hatch
django	Django	Django	python	Batteries-included web; manage.py is the control CLI.	project	Django project	manage.py; settings module	manage.py pyproject.toml	python manage.py {cmd}	manage.py subcommands	Always from directory containing manage.py.	runserver=python manage.py runserver|migrate=python manage.py migrate	manage.py:
flask	Flask	Flask	python	Microframework; flask CLI via FLASK_APP.	app	Flask app	app factory / FLASK_APP entry	app.py wsgi.py	flask --app {module} run	FLASK_APP / flask CLI	FLASK_APP is part of the mental model.	run=flask --app app run --debug	pyproject.toml:project.scripts
fastapi	FastAPI	FastAPI	python	ASGI API framework; uvicorn owns the process.	app	FastAPI app	main:app; uvicorn command	main.py pyproject.toml	uvicorn {module}:app --reload	ASGI entry string	Uvicorn controls the process; FastAPI is the app object.	dev=uvicorn main:app --reload	pyproject.toml:project.dependencies
pytest	pytest	Python	python	Test runner; pytest.ini / pyproject.	tests	Tests	tests/; conftest.py	pytest.ini pyproject.toml conftest.py	pytest {path}	pytest discovery config	Run from project root so conftest resolves.	test=pytest	pyproject.toml:tool.pytest
tox	tox	Python	python	Multi-env test matrix; tox.ini.	project-root	tox root	tox.ini envs	tox.ini	tox -e {env}	tox.ini envlist	-e selects env without activating manually.	run=tox	tox.ini:envlist
nox	Nox	Python	python	Python-file test sessions; noxfile.py.	project-root	Nox root	noxfile.py sessions	noxfile.py	nox -s {session}	noxfile.py sessions	-s selects session.	run=nox	noxfile.py:
sphinx	Sphinx	Python	python	Docs generator; conf.py; make html.	docs	Sphinx docs	docs/conf.py; Makefile	conf.py Makefile	sphinx-build -b html {src} {out}	Makefile / tox	Prefer make -C docs from repo root.	html=make -C docs html	docs/conf.py:
go	Go	Go		Language plus toolchain; go.mod module root.	module-root	Go module	go.mod; go.sum	go.mod go.sum	go {cmd} {packages}	go.mod module path	Module root is standing position; ./... selects packages.	test=go test ./...|tidy=go mod tidy	go.mod:module
goreleaser	GoReleaser	Go	go	Release automation; .goreleaser.yaml.	module-root	Release config	.goreleaser.yaml	.goreleaser.yaml	goreleaser release --snapshot	.goreleaser.yaml	Run from module root.	snapshot=goreleaser release --snapshot --clean	.goreleaser.yaml:
maven	Maven	Java		pom.xml reactor; -pl -am for modules.	reactor-root	Maven reactor	pom.xml; multi-module children	pom.xml	mvn {goals} -pl {module} -am	pom.xml modules	Always from reactor root; -pl selects module.	package=mvn -q package|test=mvn test	pom.xml:modules,artifactId
gradle	Gradle	Java		settings.gradle plus build.gradle; :module:task.	project-root	Gradle root	settings.gradle; build.gradle	settings.gradle.kts build.gradle.kts	./gradlew :module:task	Gradle task graph	:module:task from root — do not cd into modules.	build=./gradlew build|test=./gradlew test	settings.gradle.kts:include
spring-boot	Spring Boot	Java	maven	App framework; spring-boot:run or bootRun.	app	Spring Boot app	application.yml; SpringBootApplication	pom.xml application.yml	mvn spring-boot:run	plugin goals	Build tool owns process; Spring owns DI.	run=mvn spring-boot:run	pom.xml:dependencies
kotlin	Kotlin	Kotlin	gradle	Language on JVM; usually Gradle Kotlin DSL.	project-root	Kotlin project	build.gradle.kts; src/main/kotlin	build.gradle.kts settings.gradle.kts	./gradlew {task}	Gradle Kotlin plugin	kotlinc alone is rare in apps.	build=./gradlew build	build.gradle.kts:
dotnet	.NET SDK	.NET		dotnet CLI; .sln / .csproj.	solution-root	Solution / project	*.sln; *.csproj; global.json	global.json	dotnet {verb} {project}	.csproj	Pass .csproj path instead of cd.	build=dotnet build|test=dotnet test	global.json:sdk
nuget	NuGet	.NET	dotnet	Package feed client; usually dotnet add package.	project	Package refs	PackageReference; nuget.config	nuget.config	dotnet add package {id}	PackageReference items	Prefer dotnet CLI over nuget.exe.	restore=dotnet restore	nuget.config:
aspnet	ASP.NET Core	.NET	dotnet	Web stack; launchSettings.json profiles.	web	ASP.NET app	Program.cs; launchSettings.json	Program.cs Properties/launchSettings.json	dotnet run --launch-profile {name}	launchSettings profiles	Profile name selects URLs/env.	run=dotnet run --project {projectPath}	Properties/launchSettings.json:profiles
composer	Composer	PHP		PHP dependency manager; composer.json scripts.	project-root	Composer root	composer.json; vendor/	composer.json composer.lock	composer {script}	composer.json scripts	Script names are Composer scripts, not shell files.	install=composer install|test=composer test	composer.json:scripts,require
laravel	Laravel	Laravel	composer	PHP framework; artisan is the control plane.	app	Laravel app	artisan; app/; routes/	artisan composer.json .env	php artisan {cmd}	artisan commands	Always from app root containing artisan.	serve=php artisan serve|migrate=php artisan migrate	composer.json:require
symfony	Symfony	Symfony	composer	PHP framework; bin/console; Flex recipes.	app	Symfony app	bin/console; config/	bin/console composer.json	php bin/console {cmd}	console commands	bin/console is the control CLI.	about=php bin/console about	composer.json:require
bundler	Bundler	Ruby		Gem dependency manager; bundle exec.	project-root	Bundler root	Gemfile; Gemfile.lock	Gemfile Gemfile.lock	bundle exec {cmd}	Gemfile plus binstubs	bundle exec ensures gem versions.	install=bundle install	Gemfile:
rails	Ruby on Rails	Rails	bundler	Full-stack Ruby; bin/rails.	app	Rails app	bin/rails; app/; config/	bin/rails Gemfile	bin/rails {cmd}	rails commands	Prefer bin/rails over rails from PATH.	server=bin/rails server|console=bin/rails console	Gemfile:
rake	Rake	Ruby	bundler	Ruby make-like tasks; Rakefile.	project-root	Rake root	Rakefile; lib/tasks	Rakefile	bundle exec rake {task}	Rakefile tasks	Task names are the script equivalents.	list=bundle exec rake -T	Rakefile:
flutter	Flutter	Flutter		Multi-platform UI SDK; pubspec.yaml.	project-root	Flutter project	pubspec.yaml; lib/; android/ios	pubspec.yaml	flutter {cmd}	pubspec plus flutter tool	Always from directory with pubspec.yaml.	pub-get=flutter pub get|run=flutter run|test=flutter test	pubspec.yaml:name,dependencies
dart	Dart / pub	Dart		Language plus pub; pubspec.yaml; dart run.	project-root	Dart package	pubspec.yaml	pubspec.yaml pubspec.lock	dart run / dart test / dart pub get	pubspec executables	dart pub get from package root.	get=dart pub get|test=dart test	pubspec.yaml:name
react-native	React Native	React Native	node	Mobile React; Metro; android/ios trees.	project-root	RN app	package.json; android/; ios/; metro	package.json metro.config.js app.json	react-native run-android or {pm} run ios	package.json scripts	Native dirs are controlled by RN CLI / Expo.	start=pnpm start|android=pnpm run android	package.json:dependencies.react-native,scripts
expo	Expo	Expo	react-native	RN toolchain; app.json; expo start.	project-root	Expo app	app.json; expo	app.json package.json	npx expo start	package.json scripts	Expo controls native project generation.	start=pnpm exec expo start	app.json:expo
docker	Docker	Docker		Images and containers; Dockerfile; compose.	project-root	Docker context	Dockerfile; .dockerignore	Dockerfile compose.yaml	docker build / docker compose	Dockerfile / compose services	Build context is a directory — surface it.	build=docker build -t {image} .|compose-up=docker compose up	Dockerfile:
docker-compose	Docker Compose	Docker	docker	Multi-service orchestration; compose.yaml.	project-root	Compose project	compose.yaml service graph	compose.yaml docker-compose.yml	docker compose {cmd}	compose services / profiles	Service names are the units — not directories.	up=docker compose up -d|logs=docker compose logs -f	compose.yaml:services
kubernetes	Kubernetes	Kubernetes		Cluster orchestration; manifests / Helm; kubectl.	manifests	K8s manifests	YAML; kubeconfig context	kustomization.yaml	kubectl apply -f {file}	manifests / kustomize	Context/namespace are standing position.	apply=kubectl apply -f {manifest}|get=kubectl get pods	kustomization.yaml:resources
helm	Helm	Kubernetes	kubernetes	K8s package manager; Chart.yaml.	chart	Helm chart	Chart.yaml; values.yaml; templates/	Chart.yaml values.yaml	helm upgrade --install {name} {chart}	values plus chart	Release name plus values file are the mental model.	template=helm template {release} .|upgrade=helm upgrade --install {release} .	Chart.yaml:name,version
terraform	Terraform	Terraform		IaC; .tf files; -chdir.	module-root	Terraform root	*.tf; .terraform.lock.hcl	main.tf providers.tf .terraform.lock.hcl	terraform {cmd} -chdir={path}	.tf configuration	-chdir selects root without cd.	init=terraform init|plan=terraform plan|apply=terraform apply	main.tf:
opentofu	OpenTofu	OpenTofu		Open Terraform fork; tofu CLI.	module-root	OpenTofu root	*.tf; lockfile	main.tf .terraform.lock.hcl	tofu {cmd} -chdir={path}	.tf configuration	Compatible workflow with terraform -chdir.	init=tofu init|plan=tofu plan	main.tf:
pulumi	Pulumi	Pulumi		IaC in general languages; Pulumi.yaml; stack select.	project-root	Pulumi project	Pulumi.yaml; stack configs	Pulumi.yaml	pulumi up / pulumi stack select {name}	Pulumi.yaml plus program	Stack name is the environment standing position.	preview=pulumi preview|up=pulumi up	Pulumi.yaml:name,runtime
ansible	Ansible	Ansible		Config management; playbooks; inventory.	playbook-root	Playbook root	playbook.yml; inventory; ansible.cfg	ansible.cfg playbook.yml inventory	ansible-playbook -i {inventory} {playbook}	playbooks plus inventory	Inventory is as important as the playbook.	run=ansible-playbook -i inventory playbook.yml	ansible.cfg:
wrangler	Wrangler	Cloudflare	node	Cloudflare Workers CLI; wrangler.toml.	worker	Worker project	wrangler.toml; src/	wrangler.toml package.json	wrangler {cmd}	wrangler.toml plus package scripts	Often via pnpm exec wrangler.	dev=pnpm exec wrangler dev|deploy=pnpm exec wrangler deploy	wrangler.toml:name,main
prisma	Prisma	Prisma	node	Node ORM; schema.prisma; prisma migrate.	prisma	Prisma schema	prisma/schema.prisma	prisma/schema.prisma package.json	prisma {cmd}	schema.prisma plus scripts	Run from package that owns prisma/.	generate=pnpm exec prisma generate|migrate=pnpm exec prisma migrate dev	prisma/schema.prisma:generator
drizzle	Drizzle	Drizzle	node	TS ORM; drizzle.config; drizzle-kit.	db	Drizzle schema	drizzle.config.ts; schema ts	drizzle.config.ts package.json	drizzle-kit {cmd}	drizzle.config plus scripts	drizzle-kit push/migrate from package root.	generate=pnpm exec drizzle-kit generate|push=pnpm exec drizzle-kit push	drizzle.config.ts:
typeorm	TypeORM	TypeORM	node	ORM; data-source.ts; typeorm migration:run.	db	TypeORM	data-source; entities	data-source.ts package.json	typeorm {cmd} -d {dataSource}	DataSource config	-d points at data source file.	migration=pnpm exec typeorm migration:run -d ./data-source.ts	package.json:dependencies.typeorm
sequelize	Sequelize	Sequelize	node	Node ORM; .sequelizerc; sequelize-cli.	db	Sequelize	models/; migrations/; .sequelizerc	.sequelizerc package.json	sequelize-cli {cmd}	.sequelizerc paths	Config file locates migrations without cd.	migrate=pnpm exec sequelize-cli db:migrate	.sequelizerc:
alembic	Alembic	Python	python	SQLAlchemy migrations; alembic.ini.	migrations	Alembic	alembic.ini; versions/	alembic.ini alembic/env.py	alembic upgrade head	alembic.ini	Run from directory with alembic.ini.	upgrade=alembic upgrade head	alembic.ini:
diesel	Diesel	Rust	rust	Rust ORM; diesel.toml; diesel migration run.	db	Diesel	diesel.toml; migrations/	diesel.toml Cargo.toml	diesel migration run	diesel.toml	DATABASE_URL is part of standing env.	migrate=diesel migration run	diesel.toml:
sqlx	SQLx	Rust	rust	Async SQL; sqlx-cli migrate; DATABASE_URL.	db	SQLx	migrations/; sqlx offline data	Cargo.toml .env	sqlx migrate run	migrations folder	Offline mode uses .sqlx cache.	migrate=sqlx migrate run	Cargo.toml:dependencies.sqlx
flyway	Flyway	SQL		DB migrations; flyway.conf.	migrations	Flyway	sql/; flyway.conf	flyway.conf	flyway migrate	flyway locations	Config points at SQL locations.	migrate=flyway migrate	flyway.conf:
liquibase	Liquibase	SQL		DB changelogs; liquibase.properties.	migrations	Liquibase	changelog XML/YAML; properties	liquibase.properties	liquibase update	changelog file	changelogFile is the spine.	update=liquibase update	liquibase.properties:
postgres	PostgreSQL	PostgreSQL		RDBMS; psql; DATABASE_URL.	db	Postgres	connection URL; compose service	.env compose.yaml	psql DATABASE_URL	env / compose	App tools own migrations; psql is the console.	psql=psql	.env:DATABASE_URL
mongodb	MongoDB	MongoDB		Document DB; mongosh; often Compose.	db	MongoDB	connection string; compose	.env compose.yaml	mongosh {uri}	MONGODB_URI	URI is the standing position.	shell=mongosh	.env:MONGODB_URI
redis	Redis	Redis		In-memory store; redis-cli; often Compose.	service	Redis	redis.conf or compose service	redis.conf compose.yaml	redis-cli	connection URL / compose	Usually a service dependency, not a project CLI.	ping=redis-cli ping	compose.yaml:services
jest	Jest	Node.js	node	JS test runner; jest.config.	tests	Jest	jest.config; __tests__	jest.config.ts package.json	jest {path}	package.json scripts.test	Prefer pnpm test so config resolves.	test=pnpm test	package.json:scripts.test
vitest	Vitest	Node.js	vite	Vite-native test runner.	tests	Vitest	vitest.config; shared Vite config	vitest.config.ts package.json	vitest run	package.json scripts	Often same config root as Vite.	test=pnpm exec vitest|run=pnpm exec vitest run	package.json:devDependencies.vitest,scripts
playwright	Playwright	Node.js	node	E2E browser tests; playwright.config.	e2e	Playwright	playwright.config; tests/	playwright.config.ts package.json	playwright test	playwright.config	Install browsers once; run from package root.	test=pnpm exec playwright test|ui=pnpm exec playwright test --ui	playwright.config.ts:
cypress	Cypress	Node.js	node	E2E runner; cypress.config.	e2e	Cypress	cypress.config; cypress/e2e	cypress.config.ts package.json	cypress run / cypress open	cypress.config	open vs run is interactive vs headless.	run=pnpm exec cypress run|open=pnpm exec cypress open	cypress.config.ts:
storybook	Storybook	Node.js	node	UI workshop; .storybook/.	storybook	Storybook	.storybook; stories files	.storybook/main.ts package.json	storybook dev	package.json scripts	Separate process from app dev server.	dev=pnpm run storybook	package.json:scripts.storybook
eslint	ESLint	Node.js	node	JS/TS linter; eslint.config.js flat config.	config	ESLint	eslint.config; .eslintrc legacy	eslint.config.js package.json	eslint {paths}	eslint config plus scripts.lint	Flat config is the modern standing file.	lint=pnpm exec eslint .	package.json:scripts.lint
prettier	Prettier	Node.js	node	Formatter; .prettierrc.	config	Prettier	.prettierrc; .prettierignore	.prettierrc package.json	prettier --write {paths}	prettier config plus scripts	Format from package root.	write=pnpm exec prettier --write .	package.json:scripts.format
biome	Biome	Node.js	node	Lint plus format; biome.json.	config	Biome	biome.json	biome.json	biome check / biome format	biome.json	Single tool replaces eslint plus prettier in many repos.	check=pnpm exec biome check .|format=pnpm exec biome format --write .	biome.json:
dprint	dprint	Formatter		Polyglot formatter; dprint.json; used across Dev-Centr.	config	dprint	dprint.json	dprint.json dprint.jsonc	dprint check / dprint fmt	dprint.json	Often at monorepo root.	check=dprint check|fmt=dprint fmt	dprint.json:
github-actions	GitHub Actions	CI		CI workflows; .github/workflows.	workflows	Actions workflows	.github/workflows	.github/workflows	gh workflow list (local)	workflow YAML	Mental model is job graph, not a local cwd.	list=gh workflow list	.github/workflows:
gitlab-ci	GitLab CI	CI		CI; .gitlab-ci.yml; stages/jobs.	ci	GitLab CI	.gitlab-ci.yml; includes	.gitlab-ci.yml	glab ci lint	.gitlab-ci.yml	Stages are the spine.	validate=glab ci lint	.gitlab-ci.yml:stages
circleci	CircleCI	CI		CI; .circleci/config.yml.	ci	CircleCI	.circleci/config.yml	.circleci/config.yml	circleci config validate	config.yml	Workflows/jobs mental model.	validate=circleci config validate	.circleci/config.yml:workflows
git	Git	Git		VCS; .git; standing branch/remote.	repo-root	Git repo	.git; branch; remotes	.git	git {cmd}	repo state	Repo root is default standing position.	status=git status -sb|fetch=git fetch	.git/config:
gh	GitHub CLI	Git	git	gh; PRs/issues from repo root.	repo-root	GitHub remote	origin; gh auth	.git/config	gh {resource} {verb}	GitHub API via git remote	Always from a git checkout with GitHub remote.	pr=gh pr status|repo=gh repo view	.git/config:
pre-commit	pre-commit	Python		Git hook framework; .pre-commit-config.yaml.	repo-root	pre-commit	.pre-commit-config.yaml	.pre-commit-config.yaml	pre-commit run --all-files	hook repos in config	Install hooks once; run from repo root.	run=pre-commit run --all-files	.pre-commit-config.yaml:repos
husky	Husky	Node.js	node	Git hooks for JS repos; .husky/.	repo-root	Husky hooks	.husky/; package.json prepare	.husky package.json	git hook invokes lint-staged	.husky scripts	Hooks fire from git — not a manual CLI usually.	install=pnpm exec husky	package.json:devDependencies.husky
changesets	Changesets	Node.js	node	Versioning monorepos; .changeset/.	workspace-root	Changesets	.changeset/; package versions	.changeset/config.json package.json	changeset / changeset version	.changeset markdown	Workspace root only.	add=pnpm exec changeset|version=pnpm exec changeset version	.changeset/config.json:
semantic-release	semantic-release	Node.js	node	Automated releases from commits.	project-root	semantic-release	.releaserc; release config	.releaserc.json package.json	semantic-release	release config plus commits	Usually CI-only; local dry-run possible.	dry=pnpm exec semantic-release --dry-run	package.json:release
antora	Antora	Docs	node	Docs site generator; antora-playbook.yml.	playbook	Antora playbook	playbook; component antora.yml	antora-playbook.yml docs/antora.yml	npx antora {playbook}	playbook content sources	Playbook cwd aggregates many repos.	build=pnpm exec antora antora-playbook.yml	antora-playbook.yml:site
mdbook	mdBook	Rust		Rust book generator; book.toml.	book	mdBook	book.toml; src/	book.toml	mdbook serve / mdbook build	book.toml	Run from directory with book.toml.	serve=mdbook serve|build=mdbook build	book.toml:book
docusaurus	Docusaurus	Node.js	node	React docs; docusaurus.config.	website	Docusaurus	docusaurus.config; docs/	docusaurus.config.ts package.json	docusaurus start / build	package.json scripts	Classic website/ package layout.	start=pnpm start|build=pnpm run build	package.json:dependencies.@docusaurus/core,scripts
vitepress	VitePress	Node.js	vite	Vite-powered docs; .vitepress/config.	docs	VitePress	.vitepress/; docs markdown	.vitepress/config.ts package.json	vitepress dev / build	package.json scripts	Docs root may differ from repo root.	dev=pnpm exec vitepress dev	package.json:devDependencies.vitepress,scripts
mkdocs	MkDocs	Python	python	Python docs; mkdocs.yml.	docs	MkDocs	mkdocs.yml; docs/	mkdocs.yml	mkdocs serve / mkdocs build	mkdocs.yml	Run from mkdocs.yml directory.	serve=mkdocs serve|build=mkdocs build	mkdocs.yml:site_name
quarto	Quarto	Docs		Scientific publishing; _quarto.yml.	project	Quarto project	_quarto.yml; qmd files	_quarto.yml	quarto preview / quarto render	_quarto.yml	Project type drives output.	preview=quarto preview|render=quarto render	_quarto.yml:project
cmake	CMake	C++		Native build meta; CMakeLists.txt; -S -B.	source-root	CMake source	CMakeLists.txt; build/ tree	CMakeLists.txt	cmake -S {src} -B {build}	CMakeLists.txt	Never in-source build; -B is the standing build dir.	configure=cmake -S . -B build|build=cmake --build build	CMakeLists.txt:
